,alpha,beta,m_connections,index_cases,graph,rmse
2672,0.46,0.01,100,3,barabasi_albert_graph_100,29.82680776647849
2969,0.4,0.01,100,3,barabasi_albert_graph_100,33.80794171606611
2870,0.42,0.01,100,3,barabasi_albert_graph_100,33.84694055029767
2573,0.48,0.01,100,3,barabasi_albert_graph_100,37.052769023484494
2474,0.5,0.01,100,3,barabasi_albert_graph_100,38.2393273194777
2375,0.52,0.01,100,3,barabasi_albert_graph_100,40.09162582807614
2276,0.54,0.01,100,3,barabasi_albert_graph_100,42.12965336087745
2771,0.44,0.01,100,3,barabasi_albert_graph_100,42.73226127700421
2177,0.56,0.01,100,3,barabasi_albert_graph_100,44.732194566880246
3167,0.36,0.01,100,3,barabasi_albert_graph_100,50.0271464768418
3068,0.38,0.01,100,3,barabasi_albert_graph_100,51.11563060657368
2078,0.58,0.01,100,3,barabasi_albert_graph_100,51.79560420908916
1979,0.6,0.01,100,3,barabasi_albert_graph_100,52.11983233930174
3266,0.34,0.01,100,3,barabasi_albert_graph_100,53.8604321728498
1880,0.62,0.01,100,3,barabasi_albert_graph_100,57.05341626662077
3365,0.32,0.01,100,3,barabasi_albert_graph_100,59.989358030596364
1781,0.64,0.01,100,3,barabasi_albert_graph_100,63.76609902303406
1682,0.66,0.01,100,3,barabasi_albert_graph_100,67.58459087008609
1583,0.68,0.01,100,3,barabasi_albert_graph_100,70.39296293500672
3464,0.3,0.01,100,3,barabasi_albert_graph_100,72.64296249465602
1484,0.7000000000000001,0.01,100,3,barabasi_albert_graph_100,72.8819910223686
1385,0.72,0.01,100,3,barabasi_albert_graph_100,74.30964322968505
1286,0.74,0.01,100,3,barabasi_albert_graph_100,81.46981508037666
1088,0.78,0.01,100,3,barabasi_albert_graph_100,83.85376465105098
3563,0.28,0.01,100,3,barabasi_albert_graph_100,84.311190971762
1187,0.76,0.01,100,3,barabasi_albert_graph_100,84.60096380611202
989,0.8,0.01,100,3,barabasi_albert_graph_100,88.89496827501198
890,0.8200000000000001,0.01,100,3,barabasi_albert_graph_100,91.4818603288694
791,0.84,0.01,100,3,barabasi_albert_graph_100,94.45275579316402
692,0.86,0.01,100,3,barabasi_albert_graph_100,95.29181900473287
593,0.88,0.01,100,3,barabasi_albert_graph_100,99.61278879896744
3662,0.26,0.01,100,3,barabasi_albert_graph_100,101.0399007247213
494,0.9,0.01,100,3,barabasi_albert_graph_100,101.88107697778742
395,0.92,0.01,100,3,barabasi_albert_graph_100,103.02609826193033
296,0.9400000000000001,0.01,100,3,barabasi_albert_graph_100,106.2230599330412
197,0.96,0.01,100,3,barabasi_albert_graph_100,107.69897506833216
98,0.98,0.01,100,3,barabasi_albert_graph_100,109.87608404995987
2869,0.42,0.02,100,3,barabasi_albert_graph_100,114.64382971755477
3761,0.24,0.01,100,3,barabasi_albert_graph_100,115.1492008723398
3067,0.38,0.02,100,3,barabasi_albert_graph_100,117.6682428891304
2968,0.4,0.02,100,3,barabasi_albert_graph_100,117.89992496898506
2770,0.44,0.02,100,3,barabasi_albert_graph_100,118.03213382543169
3166,0.36,0.02,100,3,barabasi_albert_graph_100,118.65625854672686
2473,0.5,0.02,100,3,barabasi_albert_graph_100,120.41517921182273
2572,0.48,0.02,100,3,barabasi_albert_graph_100,120.62060673546112
2671,0.46,0.02,100,3,barabasi_albert_graph_100,121.39629952540373
2374,0.52,0.02,100,3,barabasi_albert_graph_100,122.07677281751211
3265,0.34,0.02,100,3,barabasi_albert_graph_100,122.64206832517513
2275,0.54,0.02,100,3,barabasi_albert_graph_100,122.86214914410252
2176,0.56,0.02,100,3,barabasi_albert_graph_100,123.57072095331918
2077,0.58,0.02,100,3,barabasi_albert_graph_100,125.3739943590315
1978,0.6,0.02,100,3,barabasi_albert_graph_100,125.53393657003365
3860,0.22,0.01,100,3,barabasi_albert_graph_100,126.0455961455707
1780,0.64,0.02,100,3,barabasi_albert_graph_100,126.76398420808528
1582,0.68,0.02,100,3,barabasi_albert_graph_100,126.9220839121994
1483,0.7000000000000001,0.02,100,3,barabasi_albert_graph_100,127.11705689578466
1384,0.72,0.02,100,3,barabasi_albert_graph_100,127.19119466378166
3364,0.32,0.02,100,3,barabasi_albert_graph_100,127.93026946799513
3463,0.3,0.02,100,3,barabasi_albert_graph_100,128.86895550250918
1879,0.62,0.02,100,3,barabasi_albert_graph_100,128.93785026426193
1681,0.66,0.02,100,3,barabasi_albert_graph_100,129.15607731613835
988,0.8,0.02,100,3,barabasi_albert_graph_100,131.12513107715088
1087,0.78,0.02,100,3,barabasi_albert_graph_100,131.41060137540714
1186,0.76,0.02,100,3,barabasi_albert_graph_100,131.51226909713375
3562,0.28,0.02,100,3,barabasi_albert_graph_100,131.85239416163003
1285,0.74,0.02,100,3,barabasi_albert_graph_100,133.41632353132576
889,0.8200000000000001,0.02,100,3,barabasi_albert_graph_100,134.49323689030155
790,0.84,0.02,100,3,barabasi_albert_graph_100,134.88291218682966
691,0.86,0.02,100,3,barabasi_albert_graph_100,135.70598875736982
592,0.88,0.02,100,3,barabasi_albert_graph_100,136.0168541592718
97,0.98,0.02,100,3,barabasi_albert_graph_100,138.1779232060551
3661,0.26,0.02,100,3,barabasi_albert_graph_100,138.58041264634323
493,0.9,0.02,100,3,barabasi_albert_graph_100,139.5859536684779
394,0.92,0.02,100,3,barabasi_albert_graph_100,139.59997795900202
295,0.9400000000000001,0.02,100,3,barabasi_albert_graph_100,140.84978359394643
196,0.96,0.02,100,3,barabasi_albert_graph_100,142.05402547568355
3959,0.2,0.01,100,3,barabasi_albert_graph_100,145.13341342470966
3760,0.24,0.02,100,3,barabasi_albert_graph_100,149.52602037515334
3859,0.22,0.02,100,3,barabasi_albert_graph_100,159.84208553347992
2868,0.42,0.03,100,3,barabasi_albert_graph_100,161.3993851861324
2571,0.48,0.03,100,3,barabasi_albert_graph_100,162.58666328122698
2967,0.4,0.03,100,3,barabasi_albert_graph_100,162.8600153978398
2769,0.44,0.03,100,3,barabasi_albert_graph_100,162.8942318476341
2670,0.46,0.03,100,3,barabasi_albert_graph_100,163.08537169696876
0,0.98,0.99,100,3,barabasi_albert_graph_100,163.52833205477083
1,0.98,0.98,100,3,barabasi_albert_graph_100,163.67145796945218
2,0.98,0.97,100,3,barabasi_albert_graph_100,163.71191864886413
3,0.98,0.96,100,3,barabasi_albert_graph_100,163.88300235698168
4,0.98,0.9500000000000001,100,3,barabasi_albert_graph_100,163.98447393673493
5,0.98,0.9400000000000001,100,3,barabasi_albert_graph_100,163.99303456127453
99,0.96,0.99,100,3,barabasi_albert_graph_100,164.01765852399035
6,0.98,0.93,100,3,barabasi_albert_graph_100,164.11428944488654
100,0.96,0.98,100,3,barabasi_albert_graph_100,164.11675018811363
8,0.98,0.91,100,3,barabasi_albert_graph_100,164.17307940097854
7,0.98,0.92,100,3,barabasi_albert_graph_100,164.17591409591958
101,0.96,0.97,100,3,barabasi_albert_graph_100,164.26858869171926
9,0.98,0.9,100,3,barabasi_albert_graph_100,164.38220004704795
102,0.96,0.96,100,3,barabasi_albert_graph_100,164.4503432182961
105,0.96,0.93,100,3,barabasi_albert_graph_100,164.47309810421885
103,0.96,0.9500000000000001,100,3,barabasi_albert_graph_100,164.52418573664997
2472,0.5,0.03,100,3,barabasi_albert_graph_100,164.57443955197343
10,0.98,0.89,100,3,barabasi_albert_graph_100,164.57481347633126
104,0.96,0.9400000000000001,100,3,barabasi_albert_graph_100,164.58053908695842
198,0.9400000000000001,0.99,100,3,barabasi_albert_graph_100,164.61423435974834
106,0.96,0.92,100,3,barabasi_albert_graph_100,164.6847337747538
11,0.98,0.88,100,3,barabasi_albert_graph_100,164.70951119143993
199,0.9400000000000001,0.98,100,3,barabasi_albert_graph_100,164.72954524590625
200,0.9400000000000001,0.97,100,3,barabasi_albert_graph_100,164.80825688800164
107,0.96,0.91,100,3,barabasi_albert_graph_100,164.8129009140131
12,0.98,0.87,100,3,barabasi_albert_graph_100,164.8691322511002
202,0.9400000000000001,0.9500000000000001,100,3,barabasi_albert_graph_100,164.89196929645038
201,0.9400000000000001,0.96,100,3,barabasi_albert_graph_100,164.9422276481631
108,0.96,0.9,100,3,barabasi_albert_graph_100,164.97999878773186
3066,0.38,0.03,100,3,barabasi_albert_graph_100,165.01650267123637
297,0.92,0.99,100,3,barabasi_albert_graph_100,165.02263248042442
203,0.9400000000000001,0.9400000000000001,100,3,barabasi_albert_graph_100,165.0470329237187
3165,0.36,0.03,100,3,barabasi_albert_graph_100,165.08587508883414
13,0.98,0.86,100,3,barabasi_albert_graph_100,165.10632937595093
109,0.96,0.89,100,3,barabasi_albert_graph_100,165.1522374612634
299,0.92,0.97,100,3,barabasi_albert_graph_100,165.1526333659028
298,0.92,0.98,100,3,barabasi_albert_graph_100,165.19573471863845
204,0.9400000000000001,0.93,100,3,barabasi_albert_graph_100,165.2499272663636
110,0.96,0.88,100,3,barabasi_albert_graph_100,165.2601445739879
300,0.92,0.96,100,3,barabasi_albert_graph_100,165.32750713473126
15,0.98,0.84,100,3,barabasi_albert_graph_100,165.3287401140295
14,0.98,0.85,100,3,barabasi_albert_graph_100,165.34804783569996
205,0.9400000000000001,0.92,100,3,barabasi_albert_graph_100,165.37202814353972
301,0.92,0.9500000000000001,100,3,barabasi_albert_graph_100,165.43262630495184
16,0.98,0.8300000000000001,100,3,barabasi_albert_graph_100,165.50458975741196
111,0.96,0.87,100,3,barabasi_albert_graph_100,165.54346396502177
396,0.9,0.99,100,3,barabasi_albert_graph_100,165.55577726136707
397,0.9,0.98,100,3,barabasi_albert_graph_100,165.5709933718882
206,0.9400000000000001,0.91,100,3,barabasi_albert_graph_100,165.60316329197246
302,0.92,0.9400000000000001,100,3,barabasi_albert_graph_100,165.64233944068954
112,0.96,0.86,100,3,barabasi_albert_graph_100,165.65870847108428
2373,0.52,0.03,100,3,barabasi_albert_graph_100,165.71286566272954
113,0.96,0.85,100,3,barabasi_albert_graph_100,165.76062444194827
207,0.9400000000000001,0.9,100,3,barabasi_albert_graph_100,165.7800210659155
17,0.98,0.8200000000000001,100,3,barabasi_albert_graph_100,165.8114313587298
398,0.9,0.97,100,3,barabasi_albert_graph_100,165.8580718566329
303,0.92,0.93,100,3,barabasi_albert_graph_100,165.88044814541308
399,0.9,0.96,100,3,barabasi_albert_graph_100,165.96466259649742
18,0.98,0.81,100,3,barabasi_albert_graph_100,165.99907321335354
19,0.98,0.8,100,3,barabasi_albert_graph_100,166.0072519268592
114,0.96,0.84,100,3,barabasi_albert_graph_100,166.024766456463
208,0.9400000000000001,0.89,100,3,barabasi_albert_graph_100,166.0328280792687
400,0.9,0.9500000000000001,100,3,barabasi_albert_graph_100,166.03322188414813
115,0.96,0.8300000000000001,100,3,barabasi_albert_graph_100,166.03451911714484
3462,0.3,0.03,100,3,barabasi_albert_graph_100,166.11342278927742
304,0.92,0.92,100,3,barabasi_albert_graph_100,166.1337274144398
3264,0.34,0.03,100,3,barabasi_albert_graph_100,166.19284442617118
209,0.9400000000000001,0.88,100,3,barabasi_albert_graph_100,166.22063650461695
401,0.9,0.9400000000000001,100,3,barabasi_albert_graph_100,166.22665249592197
116,0.96,0.8200000000000001,100,3,barabasi_albert_graph_100,166.2635766578986
496,0.88,0.98,100,3,barabasi_albert_graph_100,166.27079395695722
20,0.98,0.79,100,3,barabasi_albert_graph_100,166.31478494802465
305,0.92,0.91,100,3,barabasi_albert_graph_100,166.33402445773893
117,0.96,0.81,100,3,barabasi_albert_graph_100,166.34600177849873
495,0.88,0.99,100,3,barabasi_albert_graph_100,166.3529149359647
21,0.98,0.78,100,3,barabasi_albert_graph_100,166.35814007505243
211,0.9400000000000001,0.86,100,3,barabasi_albert_graph_100,166.45865737589205
210,0.9400000000000001,0.87,100,3,barabasi_albert_graph_100,166.4930120963732
497,0.88,0.97,100,3,barabasi_albert_graph_100,166.50315312329673
212,0.9400000000000001,0.85,100,3,barabasi_albert_graph_100,166.54749842242973
402,0.9,0.93,100,3,barabasi_albert_graph_100,166.5495999117657
306,0.92,0.9,100,3,barabasi_albert_graph_100,166.5872836591169
22,0.98,0.77,100,3,barabasi_albert_graph_100,166.64125447291764
307,0.92,0.89,100,3,barabasi_albert_graph_100,166.66638717925284
498,0.88,0.96,100,3,barabasi_albert_graph_100,166.6995916196373
403,0.9,0.92,100,3,barabasi_albert_graph_100,166.72263931913525
213,0.9400000000000001,0.84,100,3,barabasi_albert_graph_100,166.73165912281374
308,0.92,0.88,100,3,barabasi_albert_graph_100,166.7725535433952
118,0.96,0.8,100,3,barabasi_albert_graph_100,166.78915755205156
