,alpha,beta,m_connections,index_cases,graph,rmse
50,0.48,0.0034000000000000002,,3,complete_graph,44.67962881190074
60,0.5,0.0032500000000000003,,3,complete_graph,44.742855037682574
27,0.44,0.0032500000000000003,,3,complete_graph,45.71550822541178
38,0.46,0.0032500000000000003,,3,complete_graph,46.1560896890607
39,0.46,0.0034000000000000002,,3,complete_graph,46.626667839833395
36,0.46,0.00295,,3,complete_graph,46.71130648832415
72,0.52,0.0034000000000000002,,3,complete_graph,47.09768898462331
16,0.42000000000000004,0.0032500000000000003,,3,complete_graph,47.226215014707506
61,0.5,0.0034000000000000002,,3,complete_graph,47.31799137423637
83,0.54,0.0034000000000000002,,3,complete_graph,47.50481756946018
82,0.54,0.0032500000000000003,,3,complete_graph,48.21945027284514
49,0.48,0.0032500000000000003,,3,complete_graph,48.79391513135786
51,0.48,0.00355,,3,complete_graph,48.8407144154893
28,0.44,0.0034000000000000002,,3,complete_graph,49.07411976560793
71,0.52,0.0032500000000000003,,3,complete_graph,49.179889573498826
18,0.42000000000000004,0.00355,,3,complete_graph,49.663018279353345
17,0.42000000000000004,0.0034000000000000002,,3,complete_graph,49.836964965004405
29,0.44,0.00355,,3,complete_graph,50.11962612666741
40,0.46,0.00355,,3,complete_graph,50.2198244643564
25,0.44,0.00295,,3,complete_graph,50.260245798168434
94,0.56,0.0034000000000000002,,3,complete_graph,50.63329704088772
62,0.5,0.00355,,3,complete_graph,50.85582940642483
46,0.48,0.0028,,3,complete_graph,51.16902608775382
37,0.46,0.0031000000000000003,,3,complete_graph,51.504294070420066
26,0.44,0.0031000000000000003,,3,complete_graph,51.54094712720393
105,0.58,0.0034000000000000002,,3,complete_graph,51.755936114391005
84,0.54,0.00355,,3,complete_graph,52.08174048846383
70,0.52,0.0031000000000000003,,3,complete_graph,52.15111179580414
68,0.52,0.0028,,3,complete_graph,52.432594090669625
5,0.4,0.0032500000000000003,,3,complete_graph,52.53482361546189
81,0.54,0.0031000000000000003,,3,complete_graph,52.71082212630315
4,0.4,0.0031000000000000003,,3,complete_graph,52.79058773916193
57,0.5,0.0028,,3,complete_graph,53.059763112347774
104,0.58,0.0032500000000000003,,3,complete_graph,53.431840118617835
42,0.46,0.00385,,3,complete_graph,53.65387648193243
14,0.42000000000000004,0.00295,,3,complete_graph,53.666061471344754
79,0.54,0.0028,,3,complete_graph,53.90953961534509
95,0.56,0.00355,,3,complete_graph,54.10694538099096
102,0.58,0.00295,,3,complete_graph,54.10893570452965
74,0.52,0.0037,,3,complete_graph,54.14567246007613
80,0.54,0.00295,,3,complete_graph,54.192960087791135
47,0.48,0.00295,,3,complete_graph,54.29095405597227
63,0.5,0.0037,,3,complete_graph,54.30037540598379
24,0.44,0.0028,,3,complete_graph,54.362741765916226
106,0.58,0.00355,,3,complete_graph,54.55244477353174
7,0.4,0.00355,,3,complete_graph,54.60318390265985
85,0.54,0.0037,,3,complete_graph,54.614312015469686
13,0.42000000000000004,0.0028,,3,complete_graph,54.77204508758937
31,0.44,0.00385,,3,complete_graph,55.12712580935088
91,0.56,0.00295,,3,complete_graph,55.166809977348905
92,0.56,0.0031000000000000003,,3,complete_graph,55.70257555155707
58,0.5,0.00295,,3,complete_graph,55.87472250834554
52,0.48,0.0037,,3,complete_graph,56.1728102856232
113,0.6,0.00295,,3,complete_graph,56.1957430635234
73,0.52,0.00355,,3,complete_graph,56.22797004502844
69,0.52,0.00295,,3,complete_graph,56.281093970013934
64,0.5,0.00385,,3,complete_graph,56.36119778167082
6,0.4,0.0034000000000000002,,3,complete_graph,56.70490414281779
53,0.48,0.00385,,3,complete_graph,56.90268345706892
35,0.46,0.0028,,3,complete_graph,56.993319446567256
107,0.58,0.0037,,3,complete_graph,57.099171487994326
34,0.46,0.00265,,3,complete_graph,57.56855445065875
41,0.46,0.0037,,3,complete_graph,57.71568244420229
96,0.56,0.0037,,3,complete_graph,57.88629437892079
93,0.56,0.0032500000000000003,,3,complete_graph,57.941814315344374
118,0.6,0.0037,,3,complete_graph,58.115534795916524
32,0.44,0.004,,3,complete_graph,58.133996408827244
90,0.56,0.0028,,3,complete_graph,58.15866890869124
114,0.6,0.0031000000000000003,,3,complete_graph,58.34637949350414
59,0.5,0.0031000000000000003,,3,complete_graph,58.440633914321054
21,0.42000000000000004,0.004,,3,complete_graph,58.474320465022544
76,0.52,0.004,,3,complete_graph,58.603229105045585
117,0.6,0.00355,,3,complete_graph,58.60775742825544
15,0.42000000000000004,0.0031000000000000003,,3,complete_graph,58.64810312363052
30,0.44,0.0037,,3,complete_graph,58.64902123912805
116,0.6,0.0034000000000000002,,3,complete_graph,58.965765817646584
3,0.4,0.00295,,3,complete_graph,58.987417171930694
75,0.52,0.00385,,3,complete_graph,59.002868248403495
8,0.4,0.0037,,3,complete_graph,59.06046445413769
97,0.56,0.00385,,3,complete_graph,59.180493147918
43,0.46,0.004,,3,complete_graph,59.22064349012611
108,0.58,0.00385,,3,complete_graph,59.31882565360745
48,0.48,0.0031000000000000003,,3,complete_graph,59.329004451707846
103,0.58,0.0031000000000000003,,3,complete_graph,59.464921786519845
86,0.54,0.00385,,3,complete_graph,59.76254293837854
87,0.54,0.004,,3,complete_graph,59.797028482898845
101,0.58,0.0028,,3,complete_graph,60.09562892078438
54,0.48,0.004,,3,complete_graph,60.21027257102332
23,0.44,0.00265,,3,complete_graph,60.301996395067796
19,0.42000000000000004,0.0037,,3,complete_graph,60.56966745314535
20,0.42000000000000004,0.00385,,3,complete_graph,60.59791821760622
9,0.4,0.00385,,3,complete_graph,60.913936765798454
115,0.6,0.0032500000000000003,,3,complete_graph,61.64332891724781
109,0.58,0.004,,3,complete_graph,61.819775277694234
10,0.4,0.004,,3,complete_graph,61.93097895113684
65,0.5,0.004,,3,complete_graph,62.055496254438374
33,0.46,0.0025,,3,complete_graph,62.30359910581781
2,0.4,0.0028,,3,complete_graph,62.460017980735856
119,0.6,0.00385,,3,complete_graph,62.66301816984118
120,0.6,0.004,,3,complete_graph,63.91051436308306
